Пол,Сообщение
False, Донецк 19 лет Мужской История философия теология ИТ gsg литература Ищу человека Серьёзно Однодневные беседы скатывающиеся в говно мне надоели В данный момент нет ни единого контакта последние друзья улетучились вместе с моим отплытием из ДС Пол возраст расстояние роли не играет Совпадение интересов тоже Считаешь себя интересным Считаешь что вокруг быдло а ты блестишь на солнышке как драгоценный камушек Пробиваешь своим ЧСВ потолки Я тебя жду Если же ты задрот ноулайфер считаешь себя ниже всего остального мира и абсолютно не способен к общению тоже пиши 4 Ваши контакты если это логин в месенджере или соцсетях то уточняем где именно saoshint
False, 1 ДС2 Парень 22лвл 2 Ничем не увлекаюсь Заканчиваю универ в этом году Когда то читал немного книг Сейчас в основном сижу дома за пекой Наверно могу быть чем то интересен хотя сомневаюсь 3 Хочу найти тянку для общения и тд и тп 4 Мой фейк вк напишешь в лс отпралю инстаграм с фотками еблища
False, 21 кун Учусь на гуманитарном факультете планирую поступить на ветеринарную специальность для второго образования Увлекаюсь востоковедением начинаю постигать азы медицины Пишите если захотите о чем нибудь поболтать 
False, 1 Симферополь Крым 23 года парень 2 Очень коммуникабелен если увижу в Вас заинтересованность в общении мы с легкостью найдем общий язык Добр уравновешен и адекватен Хотел бы в новом году больше времени уделить саморазвитию и усилить всевозможные навыки возможно при общении получится обоюдно мотивировать друг друга к переменам в лучшую сторону Люблю приятные компании людей в которых чувствуешь себя уютно Очень люблю настольные игры и являюсь счастливым обладателем некоторых удачных представителей из этой области Люблю походы с радостью бы прильнул бы к компании которая любит путешествовать по Крыму Люблю комиксы и неравнодушен к марвеловской киновселенной А так все по канону литература сериалы когда на это есть время Любимая книга Бойцовский Клуб Кино Триер Финчер Бойл Нолан Но это из багажа накопленного ранее сейчас охладел к кинематографу Сериалы Престолы Очень странные дела Черное зеркало Сьютс Есть еще много всевозможной личной ерунды но об этом поведаю при личном общении 3 В 2018 году хочу найти новые знакомства хочется чего то абсолютно нового поэтому буду рад общению и интересному опыту Ищу и друзей и тню по душе Пишите Крым конечно же в приоритете но буду рад всем и каждому 4 Телеграм vimesey
False, Кун 17 лвл Нравится астрономия литература 18 20 веков также английский язык и история Достаточно много времени провожу за пекой Омегой себя не назову проблем в общении с людьми не возникает Причина поиска новых знакомств инфернально неинтересное и скучное окружение а с друзьями и знакомыми уже давно все обсуждено Не важно кто ты и сколько тебе лет готов поговорить о чем угодно Пиши сюда 
False, Хиккан 26 ти лет из диких ебеней С эгоистичной целью ищу человека Мои нынешние увлечения мне надоели Ты мне нужен для того что бы подсадить меня на какие то твои увлечения Почему Потому что очевидно же Мне похую сколько тебе лет какого ты пола и ориентации я тут не за этим Мне похуй что ты считаешь своё увлечение унылым и неинтересным Так что если ты задрот в какой то области и хочешь испытать незабываемый икспириенс просвящения немытого дикаря пиши на abrajgaart yandex ru там обкашляем всё 
False, 1 М Москва 25 2 Компы настольные и ролевые игры гитара пешие прогулки стандартные 3 Тян которая разделяет один из моих интересов 4 Тг MyVeryLongName
False, 1 Москва 25 лет парень 175 75 и 18 лет девушка 2 Активный отдых естественные науки оба спортсмены адекватные веселые 3 Девушку до 19 лет милую худенькую для сексуальных утех Имеется своя уютная квартира на севере Москвы 4 Почта есть телеграм так же Пиши 3
True, Дс 17 lvl тянучка Предупреждаю сразу имею серьезные проблемы с головой поэтому прошу подумать прежде чем писать мне всрата 170 55 волосы короткие каштанового цвета глаза зелено карие не худая но и не особо жирная Также хочу заранее предупредить что я недоверчива застенчива труслива инфантильна боюсь чужих людей до паники временами плохо себя контролирую склонна к быстрой смене настроения моралфажка крайне ранима Еще хотела сказать что имею фетиш D s Но об этом не стану здесь распространяться Будет здорово если у тебя есть похожий фетиш Связаться со мной можно по этому адресу Очень прошу не писать мне ради троллинга либо для того чтобы обосрать Все таки к нам инвалидам должно быть более снисходительное отношение На этом все 
False, А контакты будут или это так самореклама 
False, Будет скучно и глупо Пиши 
True, ж бухаю давай и ты с мной поговориь tolko podumai yandex ru
False, м 26 дс ищу тян для общения и распития красного например сегодня вечером dancesad mail ru
False, Пол мужской 17 Гомель Спорт кино панельки Тян для общения а потом как пойдет zergiffo
False, Телега отклеилась пофикси 
False, Это редкое чувство когда найдя свою старую анкетку у меня не тянутся руки переписать её до последней запятой и сменить всё свои контакты Тем более что с её вброса прошел уж почти календарный год тред на пороге переката да и настрой у меня вполне подходящий чтоб накатать пару телег текста прежде чем очередной несостоявшийся собеседник скроется с горизонта А раз так то быть репосту Итак Ты разумеется должна быть хикке стесняшей Не важно где ты живешь и как выглядишь мы всё равно никогда не увидимся и не встретимся ирл Ты уже давно не школьница и даже не студентка Too young да и вообще ну какие из школяров хикки У тебя нет друзей иначе я не был бы тебе нужен Нет даже вконтактика с друзьяшками по той же причине Весь свой досуг ты проводишь в одиночестве проводя часы в тишине И иногда лишь иногда на тебя это чувство одиночества накатывает слишком остро и тебе хочется с кем то пообщаться И поэтому сейчас ты здесь и читаешь эту анкетку Так напиши же мне Не страшно если ты не знаешь о чем разговаривать мы что нибудь придумаем Я смогу тебя разговорить веря в то что ты никогда меня не бросишь что даже спустя 20 лет мы все еще будет общаться друг с другом о твоих кошках и моей лысине А еще ты не существуешь увы Но если ты не очень сильно отличаешься от того кого я хотел бы найти то напиши мне wastediary yandex ru
True, 1 Пенза 20 ж 2 интересно всё не разбираюсь ни в чем 3 собеседника 4 телега gwozdi
False, Коммутируйте звери hmuriy_chelovek
False, 1 Пол мужской 25 лет 2 Видеоигры кино немного литературы 3 Тян для совместной игры во что нибудь душевное 4 steamcommunity com id diaphora
False, Севастополь кун 25 пообщаться в голос в скуйпе markus fon trier
True, ДС 22 лвл Ищу попутчика лучше попутчицу для поездки в Стамбул с 31 января по 8 февраля За тян платить не буду
True, 180 км от ДС 21 тян Фотография фильмы артхаус киберпанк английский психология и тд Кого угодно Хочу ламповых разговоров на разные темы Возможен перекат в ирл anika телега
False, Кун дс Сниму с вами жилье или приду на вписон overdos3d
True, Тян Просто пиши Ryddi
True, 1 ж 21 гетеро 2 Студентка ВУЗ 3 родители 4 нет 5 степуха 6 Психология фотография 7 Много 8 5 9 18 10 Да По нстроению Да 11 Закончить вуз и работу найти по специальности 12 Фобии 13 с 2017 14 Гуляю играю читаю фильмаки смотрю 15 Так далеко не планирую
False, Ты кун С остальным разберемся по ходу Православный мессенджер 
False, 1 Краснодар парень 20 лет 2 Интересы довольно тривиальные да и нахуй их тут никто не читает Лучше коротко обо мне Не с кем общаться целыми днями скучно сижу почти постоянно дома ни с кем не гуляю Не асоциален но стеснителен Не всрат прыщей нет Могу в вылезаторство но это если будет желание 3 Ищу друзей ну или тянку 4 Телега firebird0
True, 1 Энгельс 17 Тяночка 2 Люблю всякий бред 3 Ищу любого человека для общения пишите все 4 
False, 1 ДС 2 25 лвл мужской 2 Жаловаться и огрызаться 3 Тян тяночку тянучку 4 
False, 1 Парень 20 лет Нижний Новгород НН НиНо 2 Играю в дотку иногда в CS Учусь на программиста люблю прогать но ненавижу математику 3 Девушку 17 пообщаться 4 Пишите с какой нибудь пометкой
False, Парень Гродно Увлекаюсь играми книгами музыкой рисованием синтоизмом востоком и так далее как подобает современным затворникам Ищу девушек парней желающих поболтать на различные темы даже полностью не связанные с моими увлечениями Телеграмм scarletfoginmeiji
False, Кун 15 Мск Много грущу не выхожу из дома играю в игры Ищу девочку себе постарше или помладше всё равно 
False, Жду tghex
False, Вдоволь нагулявшийся видавший разное дерьмо высокий улыбчивый открытый миру и интересным знакомствам 26лвл кун с ДС В поисках такой же тян для милых бесед ламповых прогулок и всего такого Послушаю твои прохладные а как заскучаем потравлю тонну своих Под годный рок 80х будем жарить блинчики на завтрак читать друг другу сказки на ночь Лоялен к веществам ну лучше уж без них Откровенно ебанутые духовно богатые личности под гнетом собственного ЧСВ сразу нахуй я за теплое человеческое общение Пустой вк оттуда перекатимся куда нибудь 
False, Кун 16 Германия Люблю котиков хип хоп и думать о суициде а так же я играю в доту и в разные игры 3 Тяночку мне пожалуйста поиграть с ней или поболтать в скайпе дискорде Телега shkermeow
False, 1 ДС2 24 кун 2 Психология ИТ различные нестандартные концепции во всех сферах Люблю бумажные книги с качественной бумагой и шрифтом с засечками Художественное не особо котирую за исключением Зощенко Довлатова Веллера Музыка Bloodhound Gang особенно выделяю альтернативщина всякая и hardstyle Сериалы не смотрю совсем только Физрука и Универ гыгы Депрессивный 53 кг 3 Тян с эмпатией из ДС2 4 
False, Кун 16 Германия Люблю котиков хип хоп и думать о суициде а так же я играю в доту и в разные игры 3 Тяночку мне пожалуйста поиграть с ней или поболтать в скайпе дискорде Телега shker
False, tghex
False, кун 24 воронеж Котики андеграунд вещества зож осваиваю катание на коньках Да я ебанутый сначала упарываюсь а потом могу отжиматься или махать гантелями Тян чтобы вместе няшить котеек или ходить на всратые концерты а может вместе упарываться или блюсти зож и одно и другое мне в кайф 
False, 19 М СПб Поговорить если есть о чем TerraRaised
False, 1 ДС 23 кун всратый неламповый нищеброд 169 80 2 Игры аниме манга 3 Собственную послушную тян на всю жизнь 4 vlastelin yahoo com
False, 1 Новосибирск мне 22 и я сука ещё не бородат что за хуйня товарищи 2 Нихуя интересного живу себе да живу учусь катаю на машинке хуйня из под коня одним словом 3 Тянищу чтоб скрашивала тоскливые свободные вечера когда они есть Таки могу потаскать по местным барам обрыгаловкам аля Руксы подземки и прочие Арены 4 Uch_Blya телега кто ещё 
True, 1 Курск 20 тян 2 Сейчас я в некоторой депрессии и мне нужен человек которому можно было бы посвятить свое свободное время Кино прогулки посиделки и т д со своей стороны гарантирую искренность доброту и понимание 3 Тебе не придется выслушивать нытьё но способность выслушать другого человека тем не менее нужна и приветствуется А там уж как сложится возможны и отношения Да мы должны быть с тобой с одного города ибо общение нужно ирл 4 vk com miss_isterikaaa Телега AllOfMyRage
False, 1 Мск 15 кун 2 Люблю котиков иногда смотрю аниме играю в дотку и гарис мод 3 Ищу тянку или друга которые будут со мной играть 3 4 
False, Парень 27 лет Москва Сейчас одиноко от того что нет девушки я социальный человек в том плане что друзья и приятели есть но дамы сердца именно нету Сам я симпатичный слежу за собой хожу в спортзал по роду деятельности связан с искусством Ищу девушку 17 симпатичную без сильных проблем с головой алко и трава нейтрально отношусь если не злоупотребляешь чтобы не хикка а училась работала tg melancholy_knight
False, 1 Москва север серой ветки 23 М 175 70 2 Закончил вуз кручусь на РАБоте В свободное время смотрю аниму учу английский или плаваю в басике 3 Ж для отношений или общения ирл 4 navsegda666
False, tghex
True, далеко двадцать один девушка ищу друга подругу ни с кем не общаюсь от тебя требуется то же могу много чего интересного рассказать из увлечений история философия милитаризм осваиваю пешие прогулки планов на будущее много я пиздец амбициозная поэтому с нытиками и ленивыми общение не сложится вот так stealmybloodstealmyheart 
False, 
False, Кун 20 178 не всрат наверное Новосибирск Ищу тян любого возраста можно не нск Скучно пиздец скоро говорить разучусь Телега moreben
True, тян ищу дружочка пирожочка для переписок и поигрулек в комплюхтерные гамес город не важен 
True, Тян Хакасия но можно и просто по переписке Могу поговорить о чем угодно Меланхолик сангвиник На гитаре играю и в игры кампутерные Телеграмм qiqi0101
False, Томск male 21 Умею думать и говорить и этого достаточно Тян из этого же города Для общения и общения 19 лвл тг grafsng Просьба к Коляну если ты видишь эту анкету то подтверди что я 
False, 1 ДС и окрестности 25 лет кун 2 Все как у людей за исключением сериалов аниме и игрушек хотя все это можно в приятной компании В остальном музыка природа общение и новые места Люблю котиков 3 Ищу тян Интересует в основном ирл прогулки концерты выставки и т п Поддсье или ближайшие города тоже норм 4 тг finelyse
False, Кун ДС2 176 65 не дрищ но и не качок На лицо невсратый внутри милый и прочее блаблабла Не буду писать что мне интересны Музыка кино игры и прочую банальщину ибо уже сложился определённый взгляд на мир и готов общаться на практически любую тему Больше люблю слушать но если ты не общительная то развлеку беседой историй у меня предостаточно Ищу тян строго 18 примерно моей комплекции пообщаться и погулять в эти пасмурные питерские праздники Хотя какой гулять в такой дождь лучше в баре посидим Гарантирую приятное времяпрепровождение но сначала перед встречей лучше пообщаться немного в онлайне хотя это и опционально Телега lostefer мыло vortex85 yandex ru
False, 1 Тюмень 23 кун 2 Филолог ЗОЖник мечем махатель любитель инструментальной музыки 3 Девушку любого возраста 4 lenagli66 gmail com
True, Привет сок В поиске нескромной тян с кем можно было бы обсудить темы из разряда клубнички Крайне приветствуется адекватность и простая человеческая теплота в общении Хочется видеть конструктивный диалог без осуждения и порицания со взаимным уважением и рациональной критикой Спасибо за внимание Телеграм dxd_1
True, Мухосранск 17 лет тян Ищу интересного собеседника vk com id256907167
False, Ищу любого человека Нет я не поугарать а люблю как раз и помочь Короче итак длинно уже Я кун мне 19 tg tghex И не пишите пожалуйста больше те с кем уже говорили
False, ДС2 Кун 26 200 120 свитч Ищу нижнюю Интересы анал бондаж латекс Подробнее при общении hikka 18 mail ru Если ты из другого города то все равно пиши Будем годнотой обмениваться 
False, 1 Москва 19 М 2 Не знаю уже год из дома не выхожу хочу найти подругу для игр мужчина женщина 3 Наступаю на те же грабли тян да и еще не люблю долгий пиздеж как звать маша хорошо снимай штаны Напишите мне мне скучно 4 Brandenburg112
False, 1 м 17 2 фильмы игры сериалы че там еще люди делают 3 тянку для общения 4 
False, Ещё один кун из Питера ищет тян подробности под спойлером 
False, Кун 19 lvl Тян Только войс прямо сейчас Тг metzker6996
False, Очередная хуемразь 20 лвл ДС Тян девушку женщину с желанием стабильного общения и встреч распития чего либо или просто сидеть дома и смотреть онеме сериалы фильмы стримы ютуб Проще говоря в идеале кого то близкого Такие дела тг donquixotte vk vk com id226489682
False, ДС2 18лвл М Достаточно интересов чтобы было о чем поговорить Ищу с возможностью переката в ирл Не всратый
False, 23 дс1 Ищу кто не прочь выпить сходить на гиг Вообще как товремя я кун проебан но не всрат Интересуют фильмы японские мультики для слабоумных игоры телега edwardradical что то мне не очень хорошо 
False, 1 ДС 23года М Ищу людей двух типов Во первых музыкантов любых вообще не важно на чем ты играешь главное чтобы вкусы сошлись сам пишу как говорится на коленке и хотелось бы уже найти человека с кем бы можно было поиграть и что нибудь написать вживую Из ориентиров такие группы как swans sonic youth nine inch nails АукцЫон сольники Леонида Федорова godspeed you Black emperor woven hand telefon tel aviv Надеюсь тут ещё остались любители подобного ну и как видно определенного жанра нет мне просто нравится писать музыку и играть со звуком хотелось бы чтобы и тебе тоже Во вторых магов колдунов шизотериков называйте как хотите Я очень скептически отношусь к данной теме но все же есть некое чувство что не просто так всё короче говоря I WANT TO BELIEVE Хотелось бы найти человека который был бы кем то вроде наставника которой мог бы посвятить меня в это будь то ритуалы спиритизм и подобное Ну и помимо этого я в целом не прочь с такими людьми сходить куда нибудь или посидеть дома взять по пиву да глянуть чего интересное Пол в обеих случаях вообще не важен возраст желателен от 21 Телега johndol
False, 21 парень Желательно девушку пообщаться на сейчас а там как пойдет Могу рассказать тебе про учебу заграницей пригласить к себе ты разумеется не приедешь да и просто провести ночь пока не усну попутно кидая тебе музыку которую сейчас слушаю в поезде amartiatia telega 
True, 18 тянозавр место обитания значения не имеет все равно не пересечемся Ониме пустой треп кулстори не такие уж и кул из ирл и не только Возможно на одну ночь а мб и дольше Все это неважно просто хочу иногда с кем то говорить Тг erichtho
False, 17 лет Го завтра по Челябе погуляем в любое время Купите школьнику сигарет Пишите 
True, тян 18 лвл Сейчас прибываю в ДС 2 мне кого угодно можно и в телеграм желательно по внешности хз но скорее ни оч люблю аниме мультики CN тепло и обнимашки dezadesu
True, Тян 20 лвл Кого нибудь на пообщаться прямо сейчас потом уже вряд ли будет актуально Тг nenesan
False, 1 Саратовская Если повезёт то в следующем году дс2 тянучка 18 лвла вкатывается 2 Мамкина киберкотлета Кст ищем 4 5 позицию в легендостак на боевые кубки и т д задрот в то что потянет каменный пк задрачиваюсь по созданию персонажей жожодрочер пока только аниме но я пытаюсь это исправить 10 лет потрачено на шахматы будущий говнокодер 3 Срать вообще самое главное чтобы хватило наглости выдержать мой ебанутый характер с которым становятся магами в 30 лет Желательно чтобы можно было во что то позадротить Город вообще не важен ибо есть знакомые даже из Индонезии Для патлачей и говорящих на немецком отдельный мягкий стул Ну и если у вас фетиш на картавых А если всё вместе то я тебя боготворю и строю пантеон в твою честь А если будешь пропагандировать мне Вархамер то вообще супер а то хочется вкатиться 4 На пике я офк
False, м рост 190 программист гитарист покидаю голосовые не всратый фотки и тд 19лвл тг jaysonfrost
False, ДС Долбоеб ищет долбоебку Вот прям реальный долбоеб вот прям реальную долбоебку Чтобы ни целей в жизни ни мечт и лишь желание радостно провести молодость нагуляться Не всрат соответственно ищу нечто подобное Не недооценивай себя мне важен пустой внутренний мир и лишь на втором месте внешка Фейкопочта с перекатом куда угодно ВНИМАНИЕ НИКАКИХ ОНЕМЕ Я НЕ НАСТОЛЬКО ДОЛБОЕБ 
False, Мурманск 26 лет мужской пол Индастриал музыкант геймдизайнер и немного долбоеб Женщину своей мечты йопт и интересного собеседника Телеграм slfcorp
False, Кун 32 лвл ДС На двачах 9 лет люблю путешествовать автостоп каучсерфинг палатка отели хостелы мотоцикл лодка общение с местными погружение в локал лайф Танцую парные танцы Кино Стендап комедия особенно живьем Музычка неоклассика олдскул Metallica Nirvana Pantera гоа трансец иногда Аниме давно не смотрел В последнее время угорел по клубам и барам пытаюсь вкатиться в социализацию моду и стиль ношу пиджачки и оксфодские рубашки Работка воннаби бизнесмен делаю IT конференции снимаю видео Если ты тян 18 35 из ДС пиши может быть встретимся и пообщаемся Телеграмчек emerge
True, ДС тян 19 Поговорить только этой ночью Телеграм CatCat31 
False, Кун больше 25 2 круглых колеса есть встречу проведу и салютну высоко Просто скучно Тг hpdzigurda
False, Кун 29 ДС Ищу друзей любой половой принадлежности и возраста увлекающихся видеоиграми в той или иной степени речь разумеется о консолях и о ps4 в частности Крайне желательно обладать нитаким вкусом и в потоке современного мейнстримного конвейера хоть как то котировать околояпонщину Будем следить за еще более утопающей в болоте индустрией смеяться над комментариями и новостями с гейммага и ждать upcoming шедевраки Большой плюс если ты из ДС округи и готов а к перекату ирл лишний повод перепройти ласавас под пледиком и в уютной обстановке В крайнем случае нас выручит пока еще неоплаченный мною ps plus Важное уточнение пожалуйста не пиши мне если ты конченный ая зануда nerd и тебе лишь бы повыебываться какой ты хардкорщик как ты прошел души на танцевальном коврике и как ты шаришь в истории видеоигр Если ты мамкин скептик презирающий все и вся то тоже не стоит мне писать я слишком стар и добр для этого дерьма Я жду от собеседника соигрока положительных эмоций и готов отдавать их взамен сделав общение наиболее приятным И да не стоит думать что я ограниченный хуесос который может сойтись с кем то исключительно по заданной тематике просто так уж получилось что будучи геймером я познакомился с энным количеством людей и не хочу нарушать эту традицию freakonleash
True, Девчуля 19 Санкт Петербург Последние два года приуныла не знаю что делать и куда сходить сижу дома поэтому первое время общения могу стесняться 
False, Территориально Санкт Петербург пол мужской Кликабельная картинка с теплой музыкой Ищу pen friend для уютных разговоров будто знакомы много лет Иже с оным сделать жизнь другу другу немного интереснее Увлечения и прочие вещи вторичны главное чтобы характерами сошлись а там уж разберемся Можем играть в кооператив в различного рода игры фильмы посмотреть Если живем в одном городе можем вылезать изредка искать приключений на голову ну или ходить пить чай друг к другу Телеграм algernone Почта atickingclockicouldntstop yandex ru
